run,generation,populationFitness,bestTree,action,structured
0,93,0.736688,0.776735,0,1
0,94,0.736688,0.776735,2,1
0,95,0.744974,0.776735,1,1
0,96,0.752880,0.776735,0,1
0,97,0.727446,0.776735,1,1
0,98,0.727446,0.776735,1,1
0,99,0.743259,0.776735,0,1
0,100,0.735353,0.776735,1,1
0,101,0.751458,0.776735,1,1
0,102,0.751458,0.776735,1,1
0,103,0.759364,0.776735,1,1
0,104,0.776735,0.776735,2,1
0,105,0.776735,0.776735,0,1
0,106,0.767685,0.776735,2,1
0,107,0.751872,0.776735,1,1
0,108,0.758222,0.776735,2,1
0,109,0.760274,0.776735,2,1
1,0,0.525907,0.669184,1,0
1,1,0.527755,0.669184,1,0
1,2,0.530939,0.669184,1,0
1,3,0.543032,0.669184,1,0
1,4,0.552700,0.669184,1,0
1,5,0.555825,0.669184,1,0
1,6,0.559714,0.669184,1,0
1,7,0.562688,0.669184,1,0
1,8,0.570676,0.669184,0,0
1,9,0.576857,0.674286,1,0
1,10,0.573050,0.674286,1,0
1,11,0.574397,0.674286,1,0
1,12,0.583493,0.674286,1,0
1,13,0.587353,0.674286,2,0
1,14,0.589096,0.674286,1,0
1,15,0.596437,0.674286,1,0
1,16,0.605534,0.674286,0,0
1,17,0.620181,0.674286,0,0
1,18,0.628851,0.674286,1,0
1,19,0.637522,0.674286,0,0
1,20,0.639190,0.674286,1,0
1,21,0.645796,0.674286,1,0
1,22,0.646087,0.674286,1,0
1,23,0.650379,0.674286,1,0
1,24,0.652000,0.674286,1,0
1,25,0.661213,0.674286,1,0
1,26,0.663172,0.674286,0,0
1,27,0.658630,0.674286,1,0
1,28,0.662945,0.674286,1,0
1,29,0.658793,0.674286,2,0
1,30,0.659085,0.674286,0,0
1,31,0.664356,0.674286,2,0
1,32,0.669773,0.674286,1,0
1,33,0.670064,0.674286,1,0
1,34,0.665522,0.674286,1,0
1,35,0.668140,0.674286,1,0
1,36,0.663306,0.674286,1,0
1,37,0.668577,0.674286,0,0
1,38,0.668723,0.674286,0,0
1,39,0.673703,0.674286,1,0
1,40,0.673848,0.674286,1,0
1,41,0.669015,0.674286,2,0
1,42,0.669015,0.674286,0,0
1,43,0.669160,0.674286,1,0
1,44,0.669306,0.674286,2,0
1,45,0.669306,0.674286,1,0
1,46,0.669306,0.674286,1,0
1,47,0.674286,0.674286,0,0
1,48,0.674286,0.674286,1,0
1,49,0.669160,0.674286,1,0
1,50,0.674286,0.674286,2,0
1,51,0.669160,0.674286,1,0
1,52,0.669160,0.674286,0,0
1,53,0.669160,0.674286,1,0
1,54,0.669160,0.674286,2,0
1,55,0.674286,0.674286,1,0
1,56,0.674286,0.674286,1,0
1,57,0.669306,0.674286,2,0
1,58,0.669306,0.674286,1,0
